"","X","id_offer","adress","type","price","currency","surface_grnd","surface_good","nb_room","nb_bathroom","lat","lng","colonia","municipio","estado","desc_good","url_good","mode"
"992",992,"T-DF0041-0140"," CAMELIA, LA MAGDALENA CONTRERAS","Departamento en Venta",2480000,"MXN",90,90,2,2,19.31314,-99.24579,"EL TORO","LA MAGDALENA CONTRERAS","CDMX",NA,"https://tecnocasa.mx/detalle-inmueble.php?v=40742","Venta"
"993",993,"T-DF0010-0218"," AVENIDA SANTA LUCIA, ALVARO OBREGON","Departamento en Venta",2480000,"MXN",86,86,3,2,19.36995,-99.21842,"OLIVAR DEL CONDE 1A SECCION","ALVARO OBREGON","CDMX","DEPARTAMENTO EN VENTA DE 86 M2 CONSTA DE 3 RECAMARAS, 2 BAÑOS COMPLETOS, SALA, COMEDOR, COCINA, AREA DE LAVADO, CAJON DE ESTACIONAMIENTO Y VIGILANCIA EN MUY BUENA UBICACION A 5 MIN DE PERIFERICO Y METRO OBSERVATORIO.","https://tecnocasa.mx/detalle-inmueble.php?v=40512","Venta"
"994",994,"T-DF0110-0377"," RANCHO SAN LORENZO, COYOACAN","Departamento en Venta",2460000,"MXN",72,72,2,1,19.30969,-99.12535,"LOS GIRASOLES","COYOACAN","CDMX","Remodelado, petfriendly, 2 Recámaras (con opción a 1 estudio), sala comedor con chimenea, pequeño balcón, baño completo con ventilación, área de lavado integrada (dentro del depto, lavadero, instalación para lavadora y boiler), cocina integral, un lugar de estacionamiento techado, cámaras de vigilancia y personal de seguridad 24 hrs. Excelente iluminación natural.



El fraccionamiento cuenta con gas natural y estacionamiento para visitas, también cuenta con parque privado, excelente ubicación con avenidas principales a unos pasos como Canal de Miramontes, División del norte, Calzada del hueso, Calzada de las bombas, también súper mercados comerciales como La Comer, Superama Chedraui y plazas comerciales caminando como Galerías Coapa y Súper Plaza Miramontes, hospitales y escuelas","https://tecnocasa.mx/detalle-inmueble.php?v=39795","Venta"
"995",995,"T-DF0044-0358"," PACIFICO, COYOACAN","Departamento en Venta",2450000,"MXN",68,68,3,1,19.3378,-99.15023,"EL ROSEDAL","COYOACAN","CDMX","Departamento en venta. 68 M2, sala, comedor, cocina integral, 3 recamaras,1 baño completo,1 cajón de estacionamiento, jaula de tendido.  

Depto. en segundo piso ubicado en condominio sumamente tranquilo y seguro, zona bien comunicada gran oferta cultural y comercial en la zona  ","https://tecnocasa.mx/detalle-inmueble.php?v=40449","Venta"
"996",996,"T-DF0152-0017"," CENTEOTL, COYOACAN","CASA DUPLEX",2450000,"MXN",75,75,2,1,19.32623,-99.11151,"CULHUACAN CTM SECCION VII","COYOACAN","CDMX","Casa Duplex en venta en planta Alta consta de 75 M2, cuenta con 2 recamaras con closet, 1 baño completo, sala,comedor, cocina integral, area de lavado, jaula de tendido y dos lugares de estacionamiento. ","https://tecnocasa.mx/detalle-inmueble.php?v=41493","Venta"
"997",997,"T-DF0047-0461"," CALLE M, COYOACAN","Departamento en Venta",2450000,"MXN",90,90,3,1,19.31233,-99.11988,"ALIANZA POPULAR REVOLUCIONARIA","COYOACAN","CDMX","Departamento en venta de 90 m2C aprox., ubicado en 3er nivel, cuenta con 3 recamaras con closet cada una, sala, comedor, cocina integral, área de lavado y tendido, 1 baño, cuenta con 1 cajón de estacionamiento escriturado, gas natural.","https://tecnocasa.mx/detalle-inmueble.php?v=39717","Venta"
"998",998,"T-DF0044-0354"," PACIFICO, COYOACAN","Departamento en Venta",2450000,"MXN",64,64,2,1,19.33975,-99.15256,"PUEBLO DE LOS REYES","COYOACAN","CDMX","Departamento de 64 m2 con 2 recamaras, 1 baño completo, sala comedor, un lugar de estacionamiento, cuarto de lavado y jaula de tendido, ubicada en excelente zona amplios lugares de esparcimiento, oferta cultural, escolar y comercial .","https://tecnocasa.mx/detalle-inmueble.php?v=39726","Venta"
"999",999,"T-DF0086-0449"," LAGO CHAPALA, MIGUEL HIDALGO","Departamento en Venta",2450000,"MXN",60,60,3,2,19.44732,-99.17474,"ANAHUAC I SECCION","MIGUEL HIDALGO","CDMX","Departamento en venta: consta de 3 recámaras, 2 baños completos, sala-comedor, cocina integral, área de lavado, estacionamiento. El desarrollo cuenta con amenidades, tales como: alberca, gimnasio, cine, salón de eventos, canchas de futbol rápido y basketball , área de juegos para niños, biblioteca,  jardín. Vialidades cercanas: Marina Nacional, Mariano Escobedo y Circuito Interior. A 5 minutos de Parques Plaza Nuevo Polanco. Próximo a los corredores financieros de Anzures, Reforma y Polanco.","https://tecnocasa.mx/detalle-inmueble.php?v=40533","Venta"
"1000",1000,"T-DF0097-0459"," ORINOCO, BENITO JUAREZ","Departamento en Venta",2450000,"MXN",63,63,2,2,19.37444,-99.1398,"ZACAHUITZCO","BENITO JUAREZ","CDMX","Departamento de 2 recámaras con closet, sala-comedor, 2 baños completos ,cocina integral, área de lavado, elevador, Roof Garden común, gimnasio y estacionamiento.

Vigilancia 24 horas.","https://tecnocasa.mx/detalle-inmueble.php?v=41814","Venta"
"1001",1001,"T-DF0060-0352"," TENORIOS, TLALPAN","Departamento en Venta",2450000,"MXN",80,80,3,1,19.29464,-99.11787,"TENORIOS 2","TLALPAN","CDMX","Departamento en 3er nivel, 3 recámaras, sala, comedor, cocina integral, baño completo, área de lavado, jaula de tendido, 1 estacionamiento. Vigilancia 24 horas, acceso controlado.","https://tecnocasa.mx/detalle-inmueble.php?v=39522","Venta"
