"","X","id_offer","adress","type","price","currency","surface_grnd","surface_good","nb_room","nb_bathroom","lat","lng","colonia","municipio","estado","desc_good","detailedListings.i.","mode"
"317",317,64768772,"Salamina  2, Lindavista norte, Gustavo A. Madero,  Lindavista Norte, Gustavo A. Madero","Departamento",744878,"MN",55,55,1,1,NA,NA,"Lindavista Norte","Gustavo A. Madero","Ciudad de México","Recuperación hipotecaria!! Departamento, con todas las comodidades, a solo unos minutos de zonas comerciales, tiendas de conveniencia, bancos, escuelas, restaurantes, centros de esparcimiento. transporte público y vías de fácil acceso. ¡ojo!! las medidas de construcción son aproximadas. ¡invierte en tu futuro! si requieres más información, con gusto despejaremos todas tus dudas. Pago de contado en 2 exhibiciones, no es entrega inmediata.","https://www.inmuebles24.com/propiedades/eem-departamento-en-lindavista-excelente-oportunidad-64768772.html","Venta"
"318",318,65711262,"Sierravista,  Lindavista Norte, Gustavo A. Madero","Departamento",1900000,"MN",58,58,3,1,19.4953879,-99.12660445,"Lindavista Norte","Gustavo A. Madero","Ciudad de México","Departamento ubicado en la Gustavo A. Madero, en la Unidad Habitacional Juan de Dios Bátiz cercana a instituciones educativas desde preescolar hasta universitarios tanto públicas como privadas, casi frente a la Unidad Profesional Zacatenco del Instituto Politécnico Nacional; a servicios de salud como el Hospital Regional 1o de Octubre y la zona de Hospitales Magdalena de las Salinas; así como a centros comerciales, deportivos y recreativos.WIG: pfWtKl9","https://www.inmuebles24.com/propiedades/departamento-en-la-gustavo-a-madero-lindavista-65711262.html","Venta"
"319",319,65912562,"GUADALUPE VICTORIA GAM ,  Guadalupe Victoria, Gustavo A. Madero","Departamento",2100000,"MN",60,60,2,1,NA,NA,"Guadalupe Victoria","Gustavo A. Madero","Ciudad de México","DEPTOS COL. GPE VICTORIA DESDE $2,100,000 DE 2 REC. COCINA EQUIPADA. ALC. GAM. 2 rec con clóset 1 baño Cocina equipada Balcón 1 cajón estacionamiento Precio desde 2,100.000 (J.8A) MANDE DATOS CORREO NUMERO TELEFONICO LE CONTACTAMOS Y ENVIAMOS INFORMACION Y FOTOS O PRESENTACIÓN A SU CORREO O WHATSAPP CONTACTANOS…. Ver datos SOLO WATHSAPP ………. Ver datos….. CEL Y WATHSAPP.","https://www.inmuebles24.com/propiedades/deptos-col.-gpe-victoria-desde-$2-100-000-de-2-rec.-65912562.html","Venta"
"320",320,65714074,"Casa EN Remate Bancario  Nueva Atzacoalco Cdmx-mtc,  Nueva Atzacoalco, Gustavo A. Madero","Departamento",1815389,"MN",200,NA,5,3,19.5006174,-99.0845338,"Nueva Atzacoalco","Gustavo A. Madero","Ciudad de México","¡¡¡¡¡¡¡Gran oportunidad!!!!!!        Tengo 10 departamentos en remate bancario en la colonia del valle, desde $600,000.00 pesos. ¡Adquiere el tuyo!!Gutza Bienes Raíces es la empresa No.1 en Remates Bancarios del país. EVITA RIESGOS, ACÉRCATE CON LOS PROFESIONALES. Guía para comprar remates bancarios:Que los pagos que realices sean facturados (honorarios, cesión, gastos) y la cuenta bancaria a la que los hagas sean a la empresa que te realiza el contrato.Que en el contrato se comprometan a la entrega del inmueble no solo a una cesión de derechos  o a un a “devolución” (no hay certeza).Que tengas acceso a la documentación legal del proceso o del inmueble.Que te muestren los contratos (vigentes) con los bancos que trabajan.Que las oficinas no sean en casas o en oficinas ( en edificios donde hay múltiples empresas, que rentan despachos por mes, incluso amuebladas) al ser un negocio a largo plazo   no tienes certidumbre que en dos años seguirán ahí. Todas estas garantías te ñas ofrecemos en Gutza, evita problemas, acércate con los profesionales.TODAS ESTAS GARANTÍAS TE OFRECEMOS EN GUTZA BIENES RAICES , EVITA FRAUDES.Toda la información y gráficos publicados en este material son de carácter informativo e ilustrativo, por lo que deberán ser convalidados directamente por Gutza Bienes Raíces, Intermediación Inmobiliaria Gutza S.A. de C.V. Se libera a Gutza Bienes Raíces, Intermediación Inmobiliaria Gutza S.A. de C.V., a sus empleados, directivos, accionistas, filiales y empresas de cualquier responsabilidad que pudiera generarse por la falta de convalidación de la información, renunciando a cualquier reclamación relacionada con lo anterior.Toda la información y gráficos publicados en este material son de carácter informativo e ilustrativo, por lo que deberán ser convalidados directamente por Gutza Bienes Raíces, Intermediación Inmobiliaria Gutza S.A. de C.V. Se libera a Gutza Bienes Raíces, Intermediación Inmobiliaria Gutza S.A. de C.V., a sus empleados, directivos, accionistas, filiales y empresas de cualquier responsabilidad que pudiera generarse por la falta de convalidación de la información, renunciando a cualquier reclamación relacionada con lo anterior.","https://www.inmuebles24.com/propiedades/casa-en-remate-bancario-nueva-atzacoalco-cdmx-mtc-65714074.html","Venta"
"321",321,59469976,"SAN JUAN DE ARAGON , CALLE PUERTO OPORTO,  San Juan de Aragón, Gustavo A. Madero","Departamento",1350000,"MN",65,65,2,2,NA,NA,"San Juan de Aragón","Gustavo A. Madero","Ciudad de México","GRAN INVERSION PROPIEDAD EN PROCESO LEGAL DE ADJUDICACION DEPARTAMENTO SE ENCUENTRA EN SAN JUAN DE ARAGON , PUERTO OPORTO, GUZTAVO A MADERO. SOMOS UN DESPACHO JURIDICO ,NOS COMPROMETEMOS EN TODO EL PROCESO HASTA LA ENTREGA DEL INMUEBLE ,TU INVERCION ES 100% SEGURA . COSTO TOTAL$1,350,000 PRIMER PAGO $200,000 EN FIRMA DE CONTRATO LO QUE RESTA SE LIQUIDA EN FIRMA DE SESION DE DERECHOS","https://www.inmuebles24.com/propiedades/departamento-en-san-juan-de-aragon-guztavo-a-madero-59469976.html","Venta"
"322",322,63409792,"Av. Ticoman,  La Laguna TicomAn, Gustavo A. Madero","Terreno / Lote",24000000,"MN",1925,NA,NA,NA,19.50588,-99.12983,"La Laguna TicomAn","Gustavo A. Madero","Ciudad de México","Terreno en venta en Av. Ticoman de 1,925 m2 con 45 mts. de frente por 43 mts de fondo a unos pasos del Cablebus estación Ticoman y a espaldas del Politecnico en zona comercial y de alto flujo. Amplio uso de suelo comercial mixto. Oportunidad en la zona. CLAVE : CTV-Ver datos","https://www.inmuebles24.com/propiedades/terreno-en-venta-ticoman-cdmx-63409792.html","Venta"
"323",323,64734040,"AV. ACUEDUCTO No. 903 PB,  Guadalupe TicomAn, Gustavo A. Madero","Departamento",1438217,"MN",85,85,3,1,19.5193853,-99.1310125,"Guadalupe TicomAn","Gustavo A. Madero","Ciudad de México","Cesión en 45 días. Cesión en 45 días Cesión en 45 días Cesión en 45 días Cesión en 45 días Cesión en 45 días Cesión en 45 días Cesión en 45 días Cesión en 45 días Cesión en 45 días. Rodeada de principales escuelas de prestigio, zonas deportivas centros comerciales, todo a tu alcance aunado a eso un inmueble hasta con un 60% a 70% de ahorro, no pierdas la oportunidad. Descripción del inmueble: 3 Recamaras. 1 Baño. Comedor Cocina. Patio de servicio. 1 Cajón de Estacionamiento. Esta propiedad solo se maneja de contado, NO SE ACEPTAN CRÉDITOS DE NINGUN TIPO. Es de exclusividad para ti que CUENTAS CON UN CAPITAL PROPIO y deseas invertirlo en la adquisición de este tipo de INVERSIÓN DE REMATE INMOBILIARIO POR DEBAJO DE SU VALOR REAL. Solicita información: ***JUSTO EN ESTOS MOMENTOS DIFICILES ES CUANDO GENERAN LAS GRANDES OPORTUNIDADES*** ***PARA LA ADQUISICION DE ESTA PROPIEDAD NO SE ACEPTAN CRÉDITOS DE NINGUN TIPO*** ***PROPIEDAD DE RECUPERACION BANCARIA*** ***RECUERDA, INVERTIR EN BIENES RAICES, ES VER 5 AÑOS HACIA EL FUTURO***","https://www.inmuebles24.com/propiedades/departamento-para-firmar-cesion-en-30-dias-en-ticoman.-64734040.html","Venta"
"324",324,59674921,"PURTO OPORTO 64,  San Juan de Aragón, Gustavo A. Madero","Departamento",546000,"MN",60,60,2,1,19.4686137,-99.0907521,"San Juan de Aragón","Gustavo A. Madero","Ciudad de México","PRECIOSO DEPARTAMENTO SUPER BIEN UBICADO, EN LA COLONIA SAN JUAN DE ARAGON DE 2 RECAMARAS, 1 BAÑO, 1 LUGAR DE ESTACIONAMIENTO SOLO CONTADO FIRMA ANTE NOTARIO EN 15 DIAS ENTREGA ENTRE 6 A 8 MESES INFORMES Ver datos SILVIA FUENTES","https://www.inmuebles24.com/propiedades/departamento-sanjuan-de-aragon-guatavo-a-madero-super-59674921.html","Venta"
"325",325,65541430,"EJE Central Lazaro Cardenas,  Nueva Industrial Vallejo, Gustavo A. Madero","Departamento",1266445,"MN",70,NA,2,1,19.5082443,-99.1517529,"Nueva Industrial Vallejo","Gustavo A. Madero","Ciudad de México","¡¡¡ EN LAS CRISIS SE GENERAN LAS GRANDES OPORTUNIDADES!        Vivienda familiar muy solicitado, Inmueble espacioso, ideal como proyecto de inversión, Cerca de servicios públicos de transporte, Cerca de escuelas y hospitales,SOLO DE CONTADO, no se aceptan créditos.• Somos la empresa líder en Remates Bancarios en México.• Contamos con convenios y contratos con los principales Bancos para vender sus inmuebles.• Tenemos la mejor opción para ti.•Inmuebles en proceso jurídico.•Inmuebles adjudicados.•Inmuebles que ya recuperamos, con posesión legal y física (entrega inmediata).Aprovechando la oportunidad, hacemos las siguientes recomendaciones para los interesados en remates hipotecarios, antes de entrar en este tipo de inversiones para evitar fraudes:*Que los pagos que realices sean facturados (honorarios, cesión, gastos) y la cuenta bancaria a la que los hagas sean a la empresa que te realiza el contrato.*Que en el contrato se comprometan a la entrega del inmueble no solo a una cesión de derechos o a una ""devolución"" (no hay certeza).*Que tengas acceso a la documentación legal del proceso o del inmueble.*Que te muestren los contratos (vigentes) con los bancos que trabajan.*Que las oficinas no sean en casas o en oficinas (en edificios donde hay múltiples empresas, que rentan despachos por mes, incluso amuebladas), al ser un negocio a largo plazo no tienes certidumbre que en dos años seguirán ahí.Todas estas garantías te las ofrecemos en Gutza, evita problemas, acércate con los profesionales.Agenda una cita con al tel.: Ver datosTambién contesto WhatsApp : +Ver datos Lic.Jazmín De La Cruz Toledo¿Quieres saber más? Estamos encantados de ayudarte a elegir el mejor hogar para tu familia. Descubre tu próximo hogar con nosotros.La  información  publicada  en  este  material  tiene  carácter  informativo,  por  lo  que  la  misma  deberá  de  ser  convalidada directamente por Gutza Bienes Raíces, Intermediación Inmobiliaria Gutza S.A. de C.V. Se libera a Gutza Bienes Raíces, Intermediación Inmobiliaria Gutza, a sus empleados, directivos, accionistas, filiales  y  empresas  de  cualquier  responsabilidad  que  pudiera  generarse  por  la  falta  de  convalidación  de  la  información, renunciando a cualquier reclamación relacionada con lo anterior.","https://www.inmuebles24.com/propiedades/remato-departamento-nueva-industrial-vallejo-65541430.html","Venta"
"326",326,65901374,"Eduardo Molina,  Vasco de Quiroga, Gustavo A. Madero","Departamento",747000,"MN",NA,NA,2,1,19.4952274,-99.0913179,"Vasco de Quiroga","Gustavo A. Madero","Ciudad de México","Excelente oportunidad, venta de departamento en Gustavo A. Madero, CDMX Col. Vasco de Quiroga, Eduardo Molina No. 1720Con acceso a múltiples servicios como: Plazas comerciales Supermercados Hospitales Escuelas El Departamento cuenta con lo siguiente: SalaComedorCocina2 Recamaras1 Baños1 Estacionamiento60 Mts2 de Terreno  PROPIEDAD DE RECUPERACIÓN BANCARIA Precio muy por debajo del valor comercial.VALOR DE MERCADO APROXIMADO: $1,500,000.00VENTA DE REMATE OFERTA: $747,000.00 (gastos jurídicos incluidos)SOLO PAGO DE CONTADO, NO SE ACEPTA NINGÚN TIPO DE CRÉDITO • Entrega garantizada.• Tiempo estimado de entrega: entre 10 y 14 meses.(Tiempos máximos)• Firma de cesión y escrituración ante notario público.• Somos la Empresa Líder en Remates Bancarios de México. • Contamos con Convenios y Contratos con los Principales Bancos para Vender sus Inmuebles.   Para Mayor Información, comunícate conmigo.   También contesto WHATSAPP Ver datosINFORMACIÓN IMPORTANTE A CONSIDERAR.¿Qué son los remates bancarios?Son inmuebles hipotecados que los deudores no pudieron pagar, y que los bancos para recuperar su dinero, venden a empresas como nosotros mediante una cesión de derechos.¿Qué es una cesión de derechos?Es la escritura o documento legal que le hace dueño de la garantía hipotecaria, misma que le cede el banco ante notario público, a partir de ese momento el inversionista es el único acreedor y dueño.¿Las propiedades pueden ser visitadas?No, ya que las propiedades se encuentran habitadas. en algunos casos los deudores las abandonan antes de que salgan a remate. sin embargo, en otros casos es necesario negociar con el deudor para que desocupe el inmueble de forma pacífica, para ello se le hace saber que ha agotado su procedimiento legal de defensa. en otros casos, la propiedad seguirá habitada por el deudor hasta que se ejerza el desalojo.¿Puedo vender la propiedad que adquirí?Por supuesto. La escritura pública que recibirá cumple con todos los requisitos de ley y no se diferencia de alguna otra escritura pues surte los mismos efectos legales; es decir, se trata de una escritura pública con toda la validez jurídica. por lo tanto, podrá vender la propiedad en el momento que lo desee.¿Qué garantías tengo de no perder mi dinero?Todas las operaciones están garantizadas, ya que en la cesión de derechos y en el juicio correspondiente se revisa que la deuda total sea mayor al valor de la inversión e incluso al valor comercial de la propiedad por lo que su dinero jamás correrá riesgo. El único factor a considerar es el tiempo, ya que los juicios suelen durar entre 10 y 14 meses.Toda la información y gráficos publicados en este material son de carácter informativo e ilustrativo, por lo que deberán ser convalidados directamente por Gutza Bienes Raíces, Intermediación Inmobiliaria Gutza S.A. de C.V. Se libera a Gutza Bienes Raíces, Intermediación Inmobiliaria Gutza S.A. de C.V., a sus empleados, directivos, accionistas, filiales y empresas de cualquier responsabilidad que pudiera generarse por la falta de convalidación de la información, renunciando a cualquier reclamación relacionada con lo anterior.","https://www.inmuebles24.com/propiedades/departamento-en-venta-en-gustavo-a.-madero-cdmx-col.-65901374.html","Venta"
"327",327,65519014,"Artes 94-bis,  Estanzuela, Gustavo A. Madero","Terreno / Lote",14000000,"MN",630,630,NA,NA,19.4911281,-99.1082793,"Estanzuela","Gustavo A. Madero","Ciudad de México","Excelente Terreno plano de 630 metros cuadrados, (15 de frente y 42 de largo), con construcción, tiene uso de suelo mixto y esta ubicado en la colonia Estazuela en la CDMX, cerca de metro Martín Carrera y de la Villa. Cerca de comercios, hospitales, escuelas y vías de comunicación como Av. Centernario y Av. Martín Carrera.","https://www.inmuebles24.com/propiedades/venta-de-terreno-en-la-gustavo-a-madero-65519014.html","Venta"
"328",328,65009184,"NEZAHUALCÓYOTL 74,  Aragón la Villa, Gustavo A. Madero","Departamento",1651550,"MN",70,70,2,1,19.4792013,-99.1160662,"Aragón la Villa","Gustavo A. Madero","Ciudad de México","La propiedad de su interés es una propiedad de recuperación bancaria, por la cual para adquirirla tiene que tener en consideración unos aspectos. 1. Son con recursos propios, no se acepta ningún tipo de crédito. 2. La propiedad no se puede mostrar por qué puede estar habitada por los deudores. 3. La propiedad se entrega de 2 a 6 meses. Si continúa con el interés, sería factible agendar una cita en nuestras oficinas para que conozca la información completa y con ello considerar su decisión. Atte. Lic. Axel Hernández. Tel. Ver datos","https://www.inmuebles24.com/propiedades/departamento-en-la-colonia-aragon-la-villa-gustavo-a.-65009184.html","Venta"
"329",329,64064296,"Av. Centenario al 1800,  Santiago Atzacoalco, Gustavo A. Madero","Departamento",2052680,"MN",NA,NA,2,1,19.4920629,-99.0993401,"Santiago Atzacoalco","Gustavo A. Madero","Ciudad de México","¡¡¡ EN LAS CRISIS SE GENERAN LAS GRANDES OPORTUNIDADES!!!.Departamento en: Av. Centenario 1811, Santiago Atzacoalco, Gustavo A. MaderoSOLO DE CONTADO, no se aceptan créditos.• Somos la empresa líder en Remates Bancarios en México.• Contamos con convenios y contratos con los principales Bancos para vender sus inmuebles.• Tenemos la mejor opción para ti:•Inmuebles en proceso jurídico.•Inmuebles adjudicados.•Inmuebles que ya recuperamos, con posesión legal y física (entrega inmediata).Llámame:Ver datosLic. Fabian GómezTeléfono: Ver datos 46Tambien contesto whatsapp: Ver datos 46Toda la información y gráficos publicados en este material son de carácter informativo e ilustrativo, por lo que deberán ser convalidados directamente por Gutza Bienes Raíces, Intermediación Inmobiliaria Gutza S.A. de C.V. Se libera a Gutza Bienes Raíces, Intermediación Inmobiliaria Gutza S.A. de C.V., a sus empleados, directivos, accionistas, filiales y empresas de cualquier responsabilidad que pudiera generarse por la falta de convalidación de la información, renunciando a cualquier reclamación relacionada con lo anterior.","https://www.inmuebles24.com/propiedades/departamento-santiago-atzacoalco-fg-64064296.html","Venta"
"330",330,64747151,"CALLE 6 ANDADOR ,  Acueducto de Guadalupe, Gustavo A. Madero","Departamento",1265000,"MN",79,58,2,1,NA,NA,"Acueducto de Guadalupe","Gustavo A. Madero","Ciudad de México","DEPARTAMENTO ACUEDUCTO DE GUADALUPE GUSTAVO A MADERO Ver datosVer datos SE ENTREGA REMODELADA CON LOS PAGOS AL CORRIENTE Y SIN ADEUDO Acepta infonavit, fovissste, bancario o contado. Llevamos a cabo todo el trámite sin costo","https://www.inmuebles24.com/propiedades/se-vende-departamento-acueducto-de-guadalupe-gam-cdmx-64747151.html","Venta"
"331",331,62855836,"Av. Henry Ford 351 ,  Bondojito, Gustavo A. Madero","Departamento",858200,"MN",68,68,2,1,19.4663821,-99.108453,"Bondojito","Gustavo A. Madero","Ciudad de México","EXCELENTE OPORTUNIDAD!!!!!! propiedad de Recuperación bancaria, se encuentra en una zona de gran plusvalía. Requisitos mínimos, todo regulado por las autoridades y protegido bajo contrato y notario público, garantía Hipotecaria Lista para tramitar Cesión de Derechos, recibe tu propiedad en máximo 12 meses bajo contrato. Pago en 2 exhibiciones, NO APLICAN CRÉDITOS. CONTAMOS CON DIVERSAS OPCIONES A TU ALCANCE… SOMOS HOUSE & HOME UNA EMPRESA ESPECIALIZADA Y LOS MEJORES. INVERSION GARANTIZADA Agenda cita para mayor información con tu Asesor Certificado Martha Álvarez Tel. Ver datos","https://www.inmuebles24.com/propiedades/av-henry-ford-351-dpto-b-104-colonia-bondojito-62855836.html","Venta"
"332",332,63563682,",  Villa Gustavo A. Madero, Gustavo A. Madero","Bodega comercial",69000000,"MN",5290,5290,NA,NA,NA,NA,"Villa Gustavo A. Madero","Gustavo A. Madero","Ciudad de México","Venta de Bodega con una superficie de 5290 metros cuadrados.Con 80 metros aproximadamente de frente.Cuenta con 5 naves de 400 metros cada una.Cada una de las naves cuenta con 8 metros de altura, patio para maniobrar  trailer, camión.Muy buena ubicación muy cerca de avenidas principales calle muy tranquila y ancha para maniobra. EasyBroker ID: EB-JW5317","https://www.inmuebles24.com/propiedades/venta-de-bodega-villa-gustavo-a-madero-63563682.html","Venta"
"333",333,65621185,"AAV HENRY FORD #351,  Bondojito, Gustavo A. Madero","Departamento",1350000,"MN",70,70,3,1,19.4658916,-99.1083511,"Bondojito","Gustavo A. Madero","Ciudad de México","*** ESTATUS JURIDICO DE LA PROPIEDAD: ADJUDICACIÓN EXCELENTE OPORTUNIDAD PARA INVERTIR POR UN FUTURO Pasos a seguir de una Adquisición: 1-PAGO DE CONTADO (ningún tipo de crédito) 2- NO SE PUEDE VER POR DENTRO YA QUE EL DEUDOR PUEDE HABITAR LA PROPIEDAD (Nosotros llevamos el desalojo y revisión de la propiedad ) 3-ENTREGA DE 6 A 8 MESES AGENDAMOS UNA CITA, CON GUSTO TE ASESORAMOS. PARA MAYOR INFORMACION, COMUNICATE CONMIGO. Lic. Carmen CEL -Ver datos TAMBIEN CONTESTO WHATSAPP","https://www.inmuebles24.com/propiedades/departamento-en-venta-en-gustavo-a-madero-65621185.html","Venta"
"334",334,65600027,",  Barrio Candelaria TicomAn, Gustavo A. Madero","Terreno / Lote",25000000,"MN",2500,NA,NA,NA,19.5202153,-99.1359301,"Barrio Candelaria TicomAn","Gustavo A. Madero","Ciudad de México","Excelente inmueble compuesto por 2 predios que juntos miden 2,500 m2 y se encuentran comunicadosActualmente acondicionados:1) Como casa habitación (estilo colonial)2) Como Spa y oficinas. EasyBroker ID: EB-HT6919","https://www.inmuebles24.com/propiedades/excelente-predio-para-desarrollo-inmobiliario-65600027.html","Venta"
"335",335,63571646,"CALZ. DE LOS MISTERIOS 60,  Tepeyac Insurgentes, Gustavo A. Madero","Departamento",800700,"MN",80,80,2,1,19.4877117,-99.1180545,"Tepeyac Insurgentes","Gustavo A. Madero","Ciudad de México","DEPARTAMENTO DE RECUPERACIÓN BANCARIA, CUENTA CON SENTENCIA EN FIRME A FAVOR DEL BANCO, OPORTUNIDAD DE INVERSIÓN O BIEN COMO PATRIMONIO.. NO SE ACEPTAN CRÉDITOS DE NINGUNA INSTITUCIÓN, SOLO RECURSOS PROPIOS EXCELENTE PRECIO Y UBICACIÓN. RODEADO DE ESTACIONES DE METRO, A MENOS DE 10 MINUTOS DE INDIOS VERDES LA ADQUISICIÓN ES EN DOS PAGOS, SESIÓN DE DERECHOS ANTE NOTARIO. TODO EL PROCESO SE EFECTÚA BAJO CONTRATO. EL DEPARTAMENTO SE ENTREGA DESOCUPADO. POSESIÓN ABSOLUTA DEL INMUEBLE PARA EL NUEVO COMPRADOR. SESION DE DERECHO ANTE NOTARIO PUBLICO Inmueble de 2 recamaras Sala Comedor Cocina Estacionamiento Con todos los servicios, cerca de escuelas, mercados, bancos, cines, vías rápidas de transporte. *Asesoría durante todo el proceso seguridad en tu inversión de inicio a fin. *Plusvalía inmediata *Recupera y duplica tu inversión en menos de un año *Inmueble muy por debajo de su valor comercial *Cesión de derechos garantizada ante notario público * Asesoría durante todo el proceso hasta la entrega del inmueble sin costo extra *Inmueble al 70% de avance en el proceso.","https://www.inmuebles24.com/propiedades/departamento-en-calzada-de-los-misterios-tepeyac-63571646.html","Venta"
"336",336,65615813,"AV. HENRY FORD #351, 	BONDOJITO	GUSTAVO A. MADERO	CIUDAD DE MÉXICO,  Bondojito, Gustavo A. Madero","Departamento",1350000,"MN",70,69,3,1,19.4658916,-99.1083511,"Bondojito","Gustavo A. Madero","Ciudad de México","DEPARTAMENTO, MUY SERCA DE: SUPERMERCADOS , PARQUES RESTAURANTES HOSPITALES , ZONAS ESCOLARES , PLAZAS COMERCIALES , GASOLINERIAS , TEATROS . ETC. ETC. LA MEJOR OPCION DE INVERSION SON LOS REMATES BANCARIOS EN MEXICO!!! ¡¡¡¡ALTA PLUSVALIA Y CON FORME AL PASO DEL TIEMPO INCREMENTA LAS AMENIDADES!!!! NO TE ARRIESGES CONTAMOS CON LA EXPERIENCIA NECESARIA PARA GARANTIZAR TU INVERSION, SOMOS UNA RECUPERADORA EXPERTA EN EL TEMA DE REMATES BANCARIOS CONTACTANOS Y HAS UNA GRATA EXPERIENCIA DE COMODIDAD Y TRANQUILIDAD CON BENEFICIOS EXCLUSIVOS PARA TENER LA CASA Ó DEPARTAMENTO DE TUS SUEÑOS ATENCION PERSONALIZADA, asesor ALEJANDRO GARCIA TEL. Ver datos-36","https://www.inmuebles24.com/propiedades/departamento-en-venta-por-remate-bancario-ya-65615813.html","Venta"
"337",337,62733657,"CALLE 15 #278,  Santiago Atepetlac, Gustavo A. Madero","Departamento",991000,"MN",60,60,2,1,19.5236348,-99.1559205,"Santiago Atepetlac","Gustavo A. Madero","Ciudad de México","!!! EXCELENTE OPORTUNIDAD !!! DE ADQUIRIR TU PATIMONIO, PROPIEDAD GRANTIZADA POR ESCRITO ,UBICACIÓN CON GRAN PLUSVALIA, ACCESO A VIAS ACCESIBLES , PRECIO POR DE BAJO DE SU COSTO COMERCIAL, SOLO PAGO EN EFECTIVO, NO APLICA CREDITOS, CONTAMOS CON 4 LINEAS COMERCIALES, VENTA ---CON CREDITOS Y PAGO EN EFECTIVO RENTA--- EN VARIAS ALCALDIAS REMATES HIPOTECARIOS--- CON GARANTIA POR ESCRITO Y DE ENTREGA INMEDIATA AGENDAR CITA PARA MAYOR INFORMACIÓN.","https://www.inmuebles24.com/propiedades/departamento-en-venta-gustavo-a-madero-62733657.html","Venta"
"338",338,65615993,"ORIENTE 12 4418  , Guadalupe Victoria , 07790 Gustavo A. Madero, Ciudad de México, México,  Guadalupe Victoria, Gustavo A. Madero","Departamento",2100000,"MN",59,58,2,2,19.4705727,-99.1392374,"Guadalupe Victoria","Gustavo A. Madero","Ciudad de México","Ref: 1 5 7 9 7 3VENTA DE DEPARTAMENTO EN GUSTAVO A. MADERO  DEPARTAMENTO CON TERRAZAColonia Ampliación Guadalupe Victoria, Delegación Gustavo A. Madero.Si buscas Adquirir un departamento con excelente ubicación tengo está muy buena oportunidad a unos pasos de Avenida Cuitláhuac e Insurgentes Norte en la calle de Norte 12. Muy cercano al Metro La Raza y el mismo Metro bus La Raza.Ideal para una familia pequeña e idealmente que laboren por la zona, o bien para un inversionista que lo quiera poner en renta, pues esta zona es ideal para ese fin pues una parte de la población de la zona requiere de esa excelente ubicaciónSúper bien ubicado, con fácil acceso a importantes vías de comunicación y cerca de diferentes transportes públicos para llegar a cualquier punto de la ciudad como; El Centro Histórico y Paseo de la Reforma a 10 minutos.La zona se caracteriza por contar con escuelas, mercados, el Hospital La Raza a 2 minutos, Centros comerciales Portal Vallejo y gran variedad de oferta gastronómica, Zona de Bancos, Tiendas de Autoservicio, Tiendas de Conveniencia, etc.El edificio alberga de 29 departamentos con vigilancia y una terraza interior ideal para la convivencia familiar, excelente para parejas o familias pequeñas.El departamento en 4° piso, tiene dos recámaras con closets, la principal con baño, la 2° con closet, otro baño completo, sala y comedor muy iluminados, cocina integral equipada, cuarto de lavado, Balcón, 1 lugar de estacionamiento, elevador.Amenidades Seguridad privada, Elevadores, Caseta de vigilancia, Terraza, Closets, Cocina equipada, Sala y Comedor, Piso Laminado.Fotos informativas.Te ayudamos con el Trámite de tu Crédito Hipotecario con las mejores tasas del mercado, directo con nuestro Departamento Hipotecario.NEXIMOINMOBILIARIADIGITAL","https://www.inmuebles24.com/propiedades/departamento-en-venta-en-guadalupe-victoria-gustavo-a-65615993.html","Venta"
"339",339,65436144,"ORIENTE 12 4418  , Guadalupe Victoria , 07790 Gustavo A. Madero, Ciudad de México, México,  Guadalupe Victoria, Gustavo A. Madero","Departamento",2350000,"MN",117,58,2,2,19.4705727,-99.1392374,"Guadalupe Victoria","Gustavo A. Madero","Ciudad de México","Ref: 1 5 7 2 8 1VENTA DE DEPARTAMENTO EN GUSTAVO A. MADERODEPARTAMENTO CON TERRAZAColonia Ampliación Guadalupe Victoria, Delegación Gustavo A. Madero.Si buscas Adquirir un departamento con excelente ubicación tengo está muy buena oportunidad a unos pasos de Avenida Cuitláhuac e Insurgentes Norte en la calle de Norte 12. Muy cercano al Metro La Raza y el mismo Metro bus La RazaSúper bien ubicado, con fácil acceso a importantes vías de comunicación y cerca de diferentes transportes públicos para llegar a cualquier punto de la ciudad como; El Centro Histórico y Paseo de la Reforma a 10 minutos.La zona se caracteriza por contar con escuelas, mercados, el Hospital La Raza a 2 minutos, Centros comerciales Portal Vallejo y gran variedad de oferta gastronómica, Zona de Bancos, Tiendas de Autoservicio, Tiendas de Conveniencia, etc.El edificio alberga de 29 departamentos con vigilancia y una terraza interior ideal para la convivencia familiar, excelente para parejas o familias pequeñas.El departamento 3° piso, tiene dos recámaras con closets, la principal con baño, la 2° con closet, otro baño completo, sala y comedor muy iluminados, cocina integral equipada, cuarto de lavado, Balcón, 1 lugar de estacionamiento, elevador.El departamento cuenta con un excedente/terraza de 58 mts/2 que puedes utilizar como un área adicional de convivencia con tu familia, integrando un amplio espacio a tu departamento.58 M² Construcción.Amenidades Seguridad privada, Elevadores, Caseta de vigilancia, Terraza, Closets, Cocina equipada, Sala y Comedor, Piso Laminado.Fotos informativas.Te ayudamos con el Trámite de tu Crédito Hipotecario con las mejores tasas del mercado, directo con nuestro Departamento Hipotecario.NEXIMOINMOBILIARIADIGITAL","https://www.inmuebles24.com/propiedades/departamento-en-venta-en-ciudad-de-mexico-gustavo-a-65436144.html","Venta"
