"","id_offer","adress","type","price","currency","surface_grnd","surface_good","nb_room","nb_bathroom","lat","lng","colonia","municipio","estado","desc_good","lien","mode"
"6703","EA0054V001H1","aztecas","Casa en Venta",2100000,"$",250,220,4,2,19.275967,-99.1701992,"Tlalcoligia","Tlalpan","Distrito Federal","EA0054V001H1",NA,"Venta"
"6704","PU00Q14V002YC","CRISTÓBAL COLÓN","Casa en Venta",4e+06,"$",230,136,3,3.5,19.27490687,-99.17066365,"Chimalcoyotl","Tlalpan","Distrito Federal","PU00Q14V002YC",NA,"Venta"
"6705","IN2TU14V000JK","Antigua Carretera a Cuernavaca","Casa en Venta",2600000,"$",149,116,3,2,19.2680443,-99.1707506,"San Pedro Mártir","Tlalpan","Distrito Federal","IN2TU14V000JK",NA,"Venta"
"6706","GR0TD14V001QS","Cristóbal Colón","Casa en Venta",4900000,"$",278,320,3,4.5,19.3032416,-99.2339055,"Chimalcoyotl","Tlalpan","Distrito Federal","GR0TD14V001QS",NA,"Venta"
"6707","AB0N58V0000L","Carretera México - Cuernavaca","Departamento en Venta",2500000,"$",160,NA,2,3,19.2696573,-99.1705625,"San Pedro Mártir","Tlalpan","Distrito Federal","AB0N58V0000L",NA,"Venta"
"6708","QU0Y28V0000V","AUTOPISTA MEXICO CUERNAVACA","Departamento en Venta",2500000,"$",160,NA,2,3,19.2696573,-99.1705625,"San Pedro Mártir","Tlalpan","Distrito Federal","QU0Y28V0000V",NA,"Venta"
"6709","DC0078V00005","autopista mexico cuernavaca","Departamento en Venta",2500000,"$",160,NA,3,3,19.2696573,-99.1705625,"San Pedro Mártir","Tlalpan","Distrito Federal","DC0078V00005",NA,"Venta"
"6710","GU0YM4V000N8","krakatoa","Casa en Venta",1900000,"$",200,170,3,2,19.2710751,-99.1728182,"Los Volcanes","Tlalpan","Distrito Federal","GU0YM4V000N8",NA,"Venta"
"6711","MA0024V00AZE","CHONCHOS","Casa en Venta",4995000,"$",520,400,4,4.5,19.2712067,-99.1767576,"Pedregal De Las Aguilas","Tlalpan","Distrito Federal","MA0024V00AZE",NA,"Venta"
"6712","GU0YM4V000N9","krakatoa","Casa en Venta",2100000,"$",200,170,3,2,19.2710751,-99.1728182,"Los Volcanes","Tlalpan","Distrito Federal","GU0YM4V000N9",NA,"Venta"
"6713","MA0024V00BJJ","CARRETERA FEDERAL CUERNAVACA","Casa en Venta",6795000,"$",700,1046,3,5,19.26947701,-99.17049876,"San Pedro Mártir","Tlalpan","Distrito Federal","MA0024V00BJJ",NA,"Venta"
"6714","GR0U34V000NC","Clavel Norte","Casa en Venta",5900000,"$",542,688,4,5.5,19.27105775,-99.16586018,"San Pedro Mártir","Tlalpan","Distrito Federal","GR0U34V000NC",NA,"Venta"
"6715","QU0N94V001K9","ROSAL","Casa en Venta",3200000,"$",250,127,1,3,19.2695658,-99.1673438,"San Pedro Mártir","Tlalpan","Distrito Federal","QU0N94V001K9",NA,"Venta"
"6716","RE0JE4V002YT","DILIGENCIAS","Casa en Venta",5100000,"$",360,360,3,4,19.2713236,-99.1675819,"Ejidos De San Pedro Mártir","Tlalpan","Distrito Federal","RE0JE4V002YT",NA,"Venta"
"6717","MA0104V003CA","CLAVEL","Casa en Venta",2500000,"$",170,250,2,2,19.2722332,-99.1664794,"Chimalcoyotl","Tlalpan","Distrito Federal","MA0104V003CA",NA,"Venta"
"6718","OL00I4V0000V","gama","Casa en Venta",4600000,"$",300,134.5,3,3.5,19.27168964,-99.16752792,"San Pedro Mártir","Tlalpan","Distrito Federal","OL00I4V0000V",NA,"Venta"
