X,Y,X.1,X,id_offer,adress,type,price,currency,surface_grnd,surface_good,nb_room,nb_bathroom,colonia,municipio,estado,desc_good,detailedListings.i.,mode,test_sit
-99.0765713,19.4982101,24,24,1515869604,"Atlacomulco, S/n, San Felipe De Jesús, Gustavo A. Madero, Distrito Federal",Bodega en Venta,3500000,$,200,400,,,SAN FELIPE DE JESUS,GUSTAVO A MADERO,Distrito Federal,,https://inmueble.mercadolibre.com.mx/MLM-1515869604-venta-bodega-0-ambiente-san-felipe-de-jesus-_JM#position=24&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.1314292,19.5146024,25,25,1349270958,"Patria, La Laguna Ticoman, Gustavo A. Madero, Distrito Federal",Bodega en Venta,1996995,$,492,676,,,LA LAGUNA TICOMAN,GUSTAVO A MADERO,Distrito Federal,,https://inmueble.mercadolibre.com.mx/MLM-1349270958-santa-maria-ticoman-bodega-venta-gustavo-madero-cdmx-_JM#position=25&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.1101603,19.481495,26,26,1507692122,"Francisco Moreno 175, Villa Gustavo A. Madero, Gustavo A. Madero, Distrito Federal",Bodega en Venta,66000000,$,5292,1500,,,GUSTAVO A MADERO,GUSTAVO A MADERO,Distrito Federal,,https://inmueble.mercadolibre.com.mx/MLM-1507692122-gustavo-a-madero-bodega-en-venta-_JM#position=26&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.1267432,19.4628231,27,27,1735710846,"Calzada De Los Misterios 1 - 300, Vallejo, Ciudad De México, Cdmx, México, Vallejo, Gustavo A. Madero, Distrito Federal",Bodega en Venta,17000000,$,585,720,,,VALLEJO,GUSTAVO A MADERO,Distrito Federal,"Excelente Bodega con todas las instalaciones de un taller automotriz con magnífica ubicación sobre Calzada de los Misterios.Cuenta con una superficie de 567 m2 de terreno y 720 m2 de construcción en la planta alta 275 m2. Y abajo 425 m2. , con área de recepción, cabina de pintura, área de preparación, banco de estiraje, área de alineación y balanceo, área de oficinas y baños.",https://inmueble.mercadolibre.com.mx/MLM-1735710846-magnifica-bodega-taller-sobre-calz-de-los-misterios-vallejo-_JM#position=27&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.1359301,19.5290566,28,28,1489378011,"La Pastora, Gustavo A. Madero, Distrito Federal",Bodega en Venta,55000000,$,4580,3930,,,LA PASTORA,GUSTAVO A MADERO,Distrito Federal,,https://inmueble.mercadolibre.com.mx/MLM-1489378011-se-vende-bodega-en-colonia-la-pastora-en-gustavo-a-madero-_JM#position=28&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.149531,19.491467,29,29,1649216214,"Poniente  134, Vallejo, Gustavo A. Madero, Distrito Federal",Bodega en Venta,300000000,$,19558,19558,,,VALLEJO,GUSTAVO A MADERO,Distrito Federal,"RENTADAS HACE 30 AÑOS!!ENTRADA DE FERROCARRIL, ESTA RENTADA PARA SABRITAS EXCELL, GRANDES EMPRESAS SON 4 BODEGAS CON UN PATIO MUY GRANDE, CON CONTRATOS LARGOS SUPER BUENA INVERSION, GRANDES CLIENTES ESTA OPORTUNIDAD ES UNICA ES UNA SOLA ESCRITURA TECHOS ALTISIMOS",https://inmueble.mercadolibre.com.mx/MLM-1649216214-rentadas-4-bodegas-19558-metros-_JM#position=29&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.1331631,19.4673105,30,30,1581504991,"Vallejo, Gustavo A. Madero, Distrito Federal",Bodega en Venta,42000000,$,1300,60,,,VALLEJO,GUSTAVO A MADERO,Distrito Federal,"Nocnok ID: MX22-NG7414. CLAVE: 14C2057	ZONA: CDMXDirección:  GUSTAVO A. MADERO ( VALLEJO)BODEGA DE 2 NIVELES1300 m²de Terreno60 m²de Construcción$42,000,000 (Cuarenta y Dos Millones de Pesos 00/100 M.N) 	***Escriturada***Todos los servicios Estátus jurídico: Libre de gravamen.ADVERTENCIA:  Recuerda que nunca debes dar un anticipo sin validar que esta publicación sea legítima. NOCNOK no se hace responsable por la información contenida en los anuncios publicados por los usuarios a través de su sistema nocnok.com.",https://inmueble.mercadolibre.com.mx/MLM-1581504991-bodega-comercial-en-venta-vallejo-_JM#position=30&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.0816096,19.4969237,33,33,1488175485,"1 De Mayo, 25 de Julio, Gustavo A. Madero, Distrito Federal",Bodega en Venta,5057300,$,300,345,,,25 DE JULIO,GUSTAVO A MADERO,Distrito Federal,"Ciudad de México, Gustavo AmaderoCol. 25 de JulioCalle 1 de MayoSuperficie de terreno 300m2Superficie de construcción 345.043 niveles, papeles en reglaSe vende bodega nave industrial en Gustavo Amadero  , de 300 m2 de terreno y 345.04 m2 de construcción. , su uso de suelo comercial , tiene baños, para estacionamiento, en la zona hay todo tipo de comercios, centros comerciales, empresas",https://inmueble.mercadolibre.com.mx/MLM-1488175485-bodega-nave-industrial-en-venta-en-25-de-julio-_JM#position=33&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.1292691,19.4674348,34,34,1463509602,"Schumann, Vallejo, Ciudad De México, Cdmx, México, Vallejo, Gustavo A. Madero, Distrito Federal",Bodega en Venta,10000000,$,858,170,,,VALLEJO,GUSTAVO A MADERO,Distrito Federal,"!!!!! BODEGA EN VENTA ENTREGA INMEDIATA !!!!------ EXCELENTE UBICACIÒN -------------PAGO DE CONTADO--------UNA EXCELENTE OPORTUNIDAD DE INVERSIÒN CON UN PRECIO POR DE BAJO DE SU VALOR COMERCIALCONTAMOS CON MAS PROPIEDADES EN TODO EL PAIS, ACERCATE Y PREGUNTA A LOS EXPERTOS.ENTREGA GARANTIZADA BAJO CONTRATO, CONTÀCTAME PARA MAYOR INFORMACIÒN.",https://inmueble.mercadolibre.com.mx/MLM-1463509602-schumann-col-vallejo-gustavo-a-madero-cdmx-_JM#position=34&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
-99.1247523,19.5199884,35,35,929788809,"Avenida Cerro Del Chiquihuite, La Candelaria Ticoman, Gustavo A. Madero, Distrito Federal",Bodega en Venta,10500000,$,575,811,,,LA CANDELARIA TICOMAN,GUSTAVO A MADERO,Distrito Federal,"CBV - 1854. Bodega en Venta con Superficie de Terreno de 575 m2 (41 x 14) y Construcción de 811 m2 construido en 1 nivel consta de Bodega distribuida para Almacén o Fábrica, cuenta con Oficinas con Baño, Área de Trabajo, Almacén, Baños para trabajadores y Estacionamiento. Son 2 predios.",https://inmueble.mercadolibre.com.mx/MLM-929788809-cbv-1854-bodega-en-venta-colonia-la-candelaria-ticoman-en-gustavo-a-madero-_JM#position=35&search_layout=grid&type=item&tracking_id=d30889fc-3441-4290-97e1-99e33d1073c8,Venta,1
